id;name;code;abr
416;Edo;edo;\N
417;Edomite;edom;\N
418;East Futuna;efu;\N
419;Egyptian;eg;\N
420;Egyptian Arabic;ega;\N
421;Elfdalian;elfd;\N
422;Erzya;erz;\N
423;Esan;esa;\N
424;Etruscan;etr;\N
425;Evenki;eve;\N
426;Ewe;ewe;\N
427;Extremaduran;ext;\N
428;Faliscan;fal;\N
429;Fiji Hindi;fh;\N
430;Flemish;fle;\N
431;Fon;fon;\N
432;Frankish;fra;\N
433;Friulian;fri;\N
434;Franco-Proven�al;frp;\N
435;Fula;ful;\N
436;Ga;ga;\N
437;Gabi;gab;\N
438;Gagauz;gag;\N
439;Gallo;gal;\N
440;Gamilaraay;gam;\N
441;Gan;gan;\N
442;Garifuna;gar;\N
443;Gallurese Sardinian;gas;\N
444;Gaulish;gau;\N
445;Gayo;gay;\N
446;Gazi;gaz;\N
447;Ge'ez;gee;\N
448;Georgia;geo;\N
449;Greenlandic Eskimo Pidgin;gep;\N
450;Gheg Albanian;gha;\N
451;Gilbertese;gil;\N
452;Goguryeo;gog;\N
453;Golin;gol;\N
454;Goonivandi;goo;\N
455;Gooniyandi;goy;\N
456;Gronings;gro;\N
457;German Sign Language;gsl;\N
458;Guaran�;gua;\N
459;Guern�siais;gue;\N
460;Gullah;gul;\N
461;Gunai;gun;\N
462;Gusii;gus;\N
463;Guugu Yimidhirr;guu;\N
464;Haida;hai;\N
465;Hakka;hak;\N
466;Haamer-Banna;ham;\N
467;Hamer-Banna;hame;\N
468;Harari;har;\N
469;Hassaniya;has;\N
470;Haitian Creole;hc;\N
471;Hiligaynon;hil;\N
472;Hiri Motu;hir;\N
473;Hmong;hmo;\N
474;Hmong Daw;hmod;\N
475;Hopi;hop;\N
476;Hunsrik;hun;\N
477;Hurrian;hur;\N
478;Haitian Vodoun Culture Language;hvl;\N
479;Hawaiian;hw;\N
480;Hawaiian Pidgin;hwp;\N
481;Iban;iba;\N
482;Ida'an;ida;\N
483;Igbo;igb;\N
484;Ilocano;il;\N
485;Isthmus-Mecayapan Nahuatl;imn;\N
486;Indonesian;indo;\N
487;Inese�o;ine;\N
488;Ingrian;ingr;\N
489;Ingush;ingu;\N
490;Inari Sami;ins;\N
491;Istro-Romanian;ir;\N
492;Iranun;iran;\N
493;Istriot;ist;\N
494;Italia;ita;\N
495;Itelmen;ite;\N
496;Isthmus Zapotec;iza;\N
497;Jarai;jar;\N
498;Javanese;jav;\N
499;Jamaican Creole;jc;\N
500;J�rriais;je;\N
501;Jingpho;jin;\N
502;Jurchen;jur;\N
503;Kabardian;kaba;\N
504;Kabuverdianu;kabu;\N
505;Kabyle;kaby;\N
506;Kadiw�u;kad;\N
507;Kalanga;kalg;\N
508;Kalispel-Pend d'Oreille;kali;\N
509;Kalami;kalm;\N
510;Kalenjin;kaln;\N
